entity,timestamp
sensor_A,25
sensor_A,108
sensor_A,109
sensor_A,115
sensor_A,131
sensor_A,196
sensor_A,264
sensor_A,288
sensor_A,295
sensor_A,353
sensor_A,378
sensor_B,42
sensor_B,49
sensor_B,64
sensor_B,65
sensor_B,72
sensor_B,76
sensor_B,153
sensor_B,186
sensor_B,210
sensor_B,269
sensor_B,271
sensor_B,276
sensor_B,281
sensor_B,287
sensor_B,333
sensor_B,399
sensor_C,39
sensor_C,41
sensor_C,71
sensor_C,150
sensor_C,235
sensor_C,297
sensor_C,303
sensor_C,311
sensor_C,329
sensor_C,386
sensor_D,46
sensor_D,60
sensor_D,100
sensor_D,208
sensor_D,223
sensor_D,224
sensor_D,326
sensor_D,358
sensor_D,383
sensor_D,392
sensor_E,51
sensor_E,66
sensor_E,113
sensor_E,115
sensor_E,129
sensor_E,199
sensor_E,227
sensor_E,266
sensor_E,332
sensor_E,343
